ipo_date,symbol,company_name,ipo_price,current,return
2025-02-12,PUSA,Aureus Greenway Holdings Inc.,,3.89,
2025-02-11,ATII,Archimedes Tech SPAC Partners II Co.,10.00,10.77,7.70
2025-02-07,SION,"Sionna Therapeutics, Inc.",18.00,41.09,128.28
2025-02-07,TTAM,Titan America SA,16.00,18.77,17.31
2025-02-06,EPWK,EPWK Holdings Ltd.,4.10,0.665,-81.62
2025-02-06,FBGL,FBS Global Limited,4.50,0.53,-88.22
2025-02-05,CJMB,Callan JMB Inc.,4.00,0.73,-81.75
2025-02-05,HCAI,"Huachen AI Parking Management Technology Holding Co., Ltd",4.00,7.33,83.25
2025-02-05,KFII,K&F Growth Acquisition Corp. II,10.00,10.55,5.50
2025-02-05,PLUT,Plutus Financial Group Limited,4.00,3.02,-24.59
2025-01-31,INR,"Infinity Natural Resources, Inc.",20.00,12.88,-35.60
2025-01-31,MAZE,"Maze Therapeutics, Inc.",16.00,26.67,66.69
2025-01-31,MTSR,"Metsera, Inc.",18.00,70.50,291.67
2025-01-30,BBNX,"Beta Bionics, Inc.",17.00,14.73,-13.35
2025-01-30,SVCC,Stellar V Capital Corp.,10.00,10.55,5.50
2025-01-29,FGMC,FG Merger II Corp.,10.00,10.05,0.50
2025-01-28,DMAA,Drugs Made In America Acquisition Corp.,10.00,10.64,6.40
2025-01-28,SFD,"Smithfield Foods, Inc.",20.00,24.68,23.40
2025-01-24,AAPG,Ascentage Pharma Group International,17.25,17.08,-0.99
2025-01-24,VG,"Venture Global, Inc.",25.00,10.51,-57.96
2025-01-23,COLA,Columbus Acquisition Corp,10.00,10.62,6.20
2025-01-23,KAZR,Skyline Builders Group Holding Limited,,2.78,
2025-01-22,DGNX,Diginex Limited,4.10,0.918,-77.62
2025-01-22,DXST,Decent Holding Inc.,4.00,1.97,-50.75
2025-01-22,TJGC,TJGC Group Limited,4.00,4.36,11.81
2025-01-22,TOPP,Toppoint Holdings Inc.,4.00,1.23,-69.25
2025-01-17,HVII,Hennessy Capital Investment Corp. VII,10.00,10.42,4.25
2025-01-16,FLOC,Flowco Holdings Inc.,24.00,21.46,-10.58
2025-01-16,PCLA,PicoCELA Inc.,4.00,3.42,-14.50
2025-01-15,HKPD,"Cellyan Biotechnology Co., Ltd",4.00,0.39,-90.25
2025-01-15,PLMK,Plum Acquisition Corp. IV,10.00,10.64,6.40
2025-01-15,RIBB,Ribbon Acquisition Corp.,10.00,10.84,8.40
2025-01-14,UFG,Uni-Fuels Holdings Limited,4.00,0.87,-78.25
2025-01-10,MIMI,Mint Incorporation Limited,4.00,2.71,-32.25
2025-01-08,MASK,3 E Network Technology Group Limited,4.00,2.00,-50.00
2025-01-07,CEPO,"Cantor Equity Partners I, Inc.",10.00,10.00,
2025-01-07,ZYBT,Zhengye Biotechnology Holding Limited,4.00,0.772,-81.75
2025-01-02,INLF,INLIF Limited,4.00,0.04,-99.01
